title,year,director/firstNane,director/LastNane,actors,rating,imdb
Rocky,1976,John G.,Avildsen,Sylvester Stallone/Talia Shire/Carl Weathers/Burt Young,"8,1",http://www.imdb.com/title/tt0075148/
Rocky 2,1979,Sylvester,Stallone,Sylvester Stallone/Talia Shire/Carl Weathers/Burt Young/Burgess Meredith/Tony Burton/Frank Stallone/Stu Nahan,"7,2",http://www.imdb.com/title/tt0079817/
Rocky 3,1982,Sylvester,Stallone,Sylvester Stallone/Talia Shire/Carl Weathers/Burt Young/Burgess Meredith/Mister T./Hulk Hogan/Tony Burton,"6,7",http://www.imdb.com/title/tt0084602/
Last Action Hero,1993,John,McTierman,Arnold Schwarzenegger/Austin O'Brien/Charles Dance/Bridget Wilson-Sampras,"6,2",http://www.imdb.com/title/tt0107362/
Terminator,1984,James,Cameron,Arnold Schwarzenegger/Michael Biehn/Linda Hamilton,"8,1",http://www.imdb.com/title/tt0088247/
Terminator 2,1991,James,Cameron,Arnold Schwarzenegger/Linda Hamilton/Edward Furlong/Robert Patrick,"8,5",http://www.imdb.com/title/tt0103064/
Terminator 3,2003,Jonathan,Mostow,Arnold Schwarzenegger/Nick Stahl/Claire Danes/Kristanna Loken,"6,4",http://www.imdb.com/title/tt0181852/
Terminator Salvation,2009,Joseph,McGinty Nichol,Christian Bale/Sam Worthington/Anton Yelchin/Bryce Dallas Howard,"6,6",http://www.imdb.com/title/tt0438488/
Total Recall,1990,Paul,Verhoeven,Arnold Schwarzenegger/Sharon Stone/Michael Ironside/Rachel Ticotin/Ronny Cox,"7,5",http://www.imdb.com/title/tt0100802/
RoboCop,1987,Paul,Verhoeven,Peter Weller/Nancy Allen/Ronny Cox/Kurtwood Smith/Miguel Ferrer,"7,5",http://www.imdb.com/title/tt0093870/
Ghostbusters,1984,Ivan,Reitman,Bill Murray/Dan Aykroyd/Sigourney Weaver/Harold Ramis/Rick Moranis/Ernie Hudson/Annie Potts/William Atherton,"7,8",http://www.imdb.com/title/tt0087332/
Alien,1979,Ridley,Scott,Sigourney Weaver/John Hurt/Ian Holm/Harry Dean Stanton/Tom Skerritt/Yaphet Kotto/Veronica Cartwright,"8,5",http://www.imdb.com/title/tt0078748/
Avatar,2009,James,Cameron,Sam Worthington/Zoe Saldana/Sigourney Weaver/Michelle Rodriguez/Giovanni Ribisi,"7,9",http://www.imdb.com/title/tt0499549/
Lucy,2014,Luc,Besson,Scarlett Johansson/Morgan Freeman/Choi Min-sik,"6,4",http://www.imdb.com/title/tt2872732/
Le Cinquième Élément,1997,Luc,Besson,Bruce Willis/Milla Jovovich/Ian Holm/Gary Oldman/Chris Tucker,"7,7",http://www.imdb.com/title/tt0119116/
Léon,1994,Luc,Besson,Jean Reno/Gary Oldman/Natalie Portman/Danny Aiello,"8,6",http://www.imdb.com/title/tt0110413/
2001: A Space Odyssey,1968,Stanley,Kubrick,Keir Dullea/Gary Lockwood/William Sylvester/Daniel Richter/Leonard Rossiter/Douglas Rain,"8,3",http://www.imdb.com/title/tt0062622/
Prometheus,2012,Ridley,Scott,Noomi Rapace/Michael Fassbender/Guy Pearce/Idris Elba/Logan Marshall-Green/Charlize Theron,7,http://www.imdb.com/title/tt1446714/
Her,2013,Spike,Jonze,Joaquin Phoenix/Scarlett Johansson/Olivia Wilde/Amy Adams/Rooney Mara,8,http://www.imdb.com/title/tt1798709/
Kingdom of Heaven,2005,Ridley,Scott,Orlando Bloom/Eva Green/Jeremy Irons/Liam Neeson,"7,2",http://www.imdb.com/title/tt0320661/
Edge of Tomorrow,2014,Doug,Liman,Emily Blunt/Tom Cruise/Bill Paxton/Charlotte Riley/Jonas Armstrong,"7,9",http://www.imdb.com/title/tt1631867/
Oblivion,2013,Joseph,Kosinski,Tom Cruise/Nikolaj Coster-Waldau/Morgan Freeman/Olga Kurylenko/Melissa Leo/Andrea Riseborough,7,http://www.imdb.com/title/tt1483013/
Star Wars Episode IV: A New Hope,1977,George,Lucas,Mark Hamill/Harrison Ford/Carrie Fisher/Peter Cushing/Alec Guinness/Anthony Daniels/Kenny Baker/David Prowse/Peter Mayhew,"8,7",http://www.imdb.com/title/tt0076759/
Star Wars Episode V: The Empire Strikes Back,1980,Irvin,Kershner,Mark Hamill/Harrison Ford/Carrie Fisher/Billy Dee Williams/Anthony Daniels/David Prowse/Kenny Baker/Peter Mayhew/Frank Oz,"8,8",http://www.imdb.com/title/tt0080684/
Star Wars Episode VI: Return of the Jedi,1983,Richard,Marquand,Mark Hamill/Harrison Ford/Carrie Fisher/Billy Dee Williams/Anthony Daniels/David Prowse/Kenny Baker/Peter Mayhew/Frank Oz,"8,4",http://www.imdb.com/title/tt0086190/
Star Wars Episode I: The Phantom Menace,1999,George,Lucas,Liam Neeson/Ewan McGregor/Natalie Portman/Jake Lloyd/Ian McDiarmid/Pernilla August,"6,5",http://www.imdb.com/title/tt0120915/
Star Wars Episode II: Attack of the Clones,2002,George,Lucas,Ewan McGregor/Natalie Portman/Hayden Christensen/Christopher Lee/Samuel L. Jackson,"6,7",http://www.imdb.com/title/tt0121765/
Star Wars Episode III: Revenge of the Sith,2005,George,Lucas,Ewan McGregor/Natalie Portman/Hayden Christensen/Ian McDiarmid/Samuel L. Jackson,"7,6",http://www.imdb.com/title/tt0121766/
Dracula,1992,Francis Ford,Coppola,Gary Oldman/Winona Ryder/Anthony Hopkins/Keanu Reeves,"7,5",http://www.imdb.com/title/tt0103874/
Star Wars Episode VII: The Force Awakens,2015,,,,"7,9",http://www.imdb.com/title/tt2488496/
